Date,Open,High,Low,Close,Volume,Adj Close
2016-08-30,5.06,5.14,5.04,5.09,40201900,5.09
2016-08-29,5.02,5.04,4.97,5.04,30140800,5.04
2016-08-26,4.98,5.05,4.98,5.02,31263500,5.02
2016-08-25,5.07,5.07,4.99,5.04,24934600,5.04
2016-08-24,5.08,5.10,5.00,5.05,29814600,5.05
2016-08-23,5.13,5.16,5.05,5.08,23311700,5.08
2016-08-22,5.14,5.14,5.00,5.09,46732800,5.09
2016-08-19,5.15,5.21,5.08,5.11,40898200,5.11
2016-08-18,5.20,5.23,5.13,5.15,39114500,5.15
2016-08-17,5.22,5.24,5.15,5.15,39257000,5.15
2016-08-16,5.20,5.25,5.16,5.19,35785400,5.19
2016-08-15,5.16,5.28,5.16,5.20,55720200,5.20
2016-08-12,5.16,5.21,5.14,5.15,60943200,5.15
2016-08-11,5.00,5.17,5.00,5.11,67608500,5.11
2016-08-10,5.03,5.05,5.01,5.04,30546600,5.04
2016-08-09,5.00,5.05,4.99,5.03,30962000,5.03
2016-08-08,4.99,5.03,4.96,5.00,31878200,5.00
2016-08-05,5.00,5.00,4.95,4.97,29192800,4.97
2016-08-04,4.95,4.95,4.88,4.94,20292800,4.94
2016-08-03,4.93,4.94,4.86,4.91,27710900,4.91
2016-08-02,4.96,4.96,4.96,4.96,000,4.96
2016-08-01,4.95,5.00,4.91,4.96,31264100,4.96
2016-07-29,4.96,4.96,4.87,4.90,26562600,4.90
2016-07-28,4.92,4.95,4.87,4.95,24860000,4.95
2016-07-27,4.93,4.98,4.88,4.94,41715400,4.94
2016-07-26,4.91,4.99,4.89,4.94,23230400,4.94
2016-07-25,4.95,4.95,4.87,4.94,24682200,4.94
2016-07-22,4.94,4.97,4.85,4.92,39201600,4.92
2016-07-21,4.94,4.99,4.94,4.97,22991000,4.97
2016-07-20,4.97,4.98,4.94,4.97,27370700,4.97
2016-07-19,4.93,4.96,4.90,4.95,29485000,4.95
2016-07-18,4.88,4.95,4.87,4.94,34039100,4.94
2016-07-15,4.90,4.94,4.86,4.88,33028300,4.88
2016-07-14,4.81,4.90,4.81,4.90,27585000,4.90
2016-07-13,4.82,4.86,4.81,4.85,35430000,4.85
2016-07-12,4.76,4.82,4.72,4.79,32595000,4.79
2016-07-11,4.71,4.78,4.67,4.73,42065100,4.73
2016-07-08,4.58,4.63,4.57,4.62,41673000,4.62
2016-07-07,4.64,4.67,4.61,4.64,30077300,4.64
