Date,Open,High,Low,Close,Volume,Adj Close
2016-07-26,5.94,5.98,5.85,5.94,907000,5.94
2016-07-25,5.88,5.95,5.79,5.93,592500,5.93
2016-07-22,5.91,5.92,5.85,5.87,242500,5.87
2016-07-21,5.86,5.95,5.83,5.88,962500,5.88
2016-07-20,5.80,5.90,5.80,5.89,94900,5.89
2016-07-19,5.86,5.91,5.80,5.83,366500,5.83
2016-07-18,5.86,5.94,5.81,5.86,180500,5.86
2016-07-15,5.77,5.90,5.77,5.88,140500,5.88
2016-07-14,5.84,5.92,5.70,5.80,648500,5.80
2016-07-13,5.83,5.95,5.72,5.82,517000,5.82
2016-07-12,5.78,5.90,5.75,5.82,295300,5.82
2016-07-11,5.75,5.80,5.70,5.77,187500,5.77
2016-07-08,5.66,5.97,5.63,5.68,560000,5.68
2016-07-07,5.71,5.80,5.67,5.70,104500,5.70
2016-07-06,5.80,5.81,5.68,5.70,166500,5.70
2016-07-05,5.98,6.01,5.80,5.80,477500,5.80
2016-07-04,5.95,5.95,5.82,5.94,162000,5.94
2016-07-01,5.96,5.96,5.96,5.96,000,5.96
2016-06-30,5.96,5.99,5.88,5.96,440900,5.96
2016-06-29,5.74,5.84,5.70,5.84,211000,5.84
2016-06-28,5.55,5.73,5.55,5.70,59000,5.70
2016-06-27,5.67,5.75,5.58,5.69,238500,5.69
2016-06-24,5.66,5.70,5.41,5.69,1068500,5.69
2016-06-23,5.72,5.76,5.63,5.67,193500,5.67
2016-06-22,5.63,5.78,5.63,5.75,250000,5.75
2016-06-21,5.52,5.70,5.36,5.64,706000,5.64
2016-06-20,5.53,5.74,5.53,5.73,794500,5.42
2016-06-17,5.56,5.80,5.46,5.48,970500,5.18
2016-06-16,5.73,5.76,5.66,5.71,819000,5.40
2016-06-15,5.81,5.82,5.63,5.74,310500,5.43
2016-06-14,5.92,5.95,5.77,5.82,114500,5.50
2016-06-13,5.75,5.90,5.69,5.70,277500,5.39
2016-06-10,5.94,5.96,5.83,5.85,104000,5.53
2016-06-09,5.92,5.92,5.92,5.92,000,5.60
2016-06-08,5.82,5.96,5.82,5.92,519400,5.60
2016-06-07,5.97,5.99,5.90,5.93,1052500,5.61
2016-06-06,5.96,5.96,5.87,5.93,160500,5.61
2016-06-03,5.95,6.05,5.87,5.88,577000,5.56
2016-06-02,5.97,5.98,5.87,5.95,129000,5.63
2016-06-01,5.93,5.95,5.75,5.94,910000,5.62
2016-05-31,5.93,5.94,5.86,5.87,836100,5.55
2016-05-30,5.80,5.91,5.75,5.85,976500,5.53
2016-05-27,5.87,5.90,5.83,5.83,313000,5.51
2016-05-26,5.84,5.89,5.80,5.88,224000,5.56
2016-05-25,5.81,5.84,5.80,5.80,62500,5.48
2016-05-24,5.80,5.81,5.73,5.74,147000,5.43
2016-05-23,5.75,5.80,5.75,5.78,189500,5.47
2016-05-20,5.66,5.76,5.66,5.72,189500,5.41
2016-05-19,5.75,5.75,5.69,5.71,1679900,5.40
2016-05-18,5.62,5.74,5.62,5.73,1719700,5.42
2016-05-17,5.61,5.72,5.61,5.72,275000,5.41
2016-05-16,5.45,5.68,5.45,5.64,494000,5.33
2016-05-13,5.55,5.64,5.40,5.52,1639000,5.22
2016-05-12,5.61,5.64,5.52,5.55,430300,5.25
2016-05-11,5.75,5.75,5.55,5.58,887000,5.28
2016-05-10,5.75,5.78,5.69,5.75,264500,5.44
2016-05-09,5.58,5.82,5.58,5.71,715000,5.40
