Date,Open,High,Low,Close,Volume,Adj Close
2016-08-30,4.43,4.47,4.43,4.46,8041700,4.46
2016-08-29,4.44,4.44,4.37,4.41,11990400,4.41
2016-08-26,4.42,4.46,4.41,4.43,4235000,4.43
2016-08-25,4.45,4.47,4.40,4.45,6413700,4.45
2016-08-24,4.58,4.58,4.38,4.45,7914700,4.45
2016-08-23,4.59,4.59,4.53,4.58,6641700,4.58
2016-08-22,4.59,4.59,4.50,4.59,8050700,4.59
2016-08-19,4.54,4.56,4.47,4.55,14826000,4.55
2016-08-18,4.44,4.51,4.44,4.50,14958000,4.50
2016-08-17,4.46,4.48,4.40,4.42,6774400,4.42
2016-08-16,4.50,4.55,4.44,4.44,6271300,4.44
2016-08-15,4.38,4.55,4.38,4.49,7561000,4.49
2016-08-12,4.38,4.41,4.36,4.41,9854000,4.41
2016-08-11,4.25,4.37,4.23,4.32,10336000,4.32
2016-08-10,4.24,4.25,4.22,4.25,8277000,4.25
2016-08-09,4.21,4.24,4.19,4.24,8073000,4.24
2016-08-08,4.19,4.21,4.16,4.20,9551900,4.20
2016-08-05,4.16,4.18,4.14,4.17,7261000,4.17
2016-08-04,4.14,4.14,4.10,4.14,5957200,4.14
2016-08-03,4.10,4.12,4.06,4.11,9100400,4.11
2016-08-02,4.15,4.15,4.15,4.15,000,4.15
2016-08-01,4.10,4.16,4.08,4.15,11355900,4.15
2016-07-29,4.14,4.15,4.07,4.07,5979300,4.07
2016-07-28,4.17,4.17,4.11,4.13,6709000,4.13
2016-07-27,4.14,4.17,4.10,4.16,6600000,4.16
2016-07-26,4.10,4.20,4.09,4.18,7294000,4.18
2016-07-25,4.12,4.14,4.08,4.14,8200600,4.14
2016-07-22,4.12,4.13,4.05,4.09,9638700,4.09
2016-07-21,4.11,4.17,4.11,4.15,6283000,4.15
2016-07-20,4.15,4.15,4.09,4.12,7704800,4.12
2016-07-19,4.13,4.15,4.06,4.13,8828000,4.13
2016-07-18,4.08,4.12,4.06,4.10,3500800,4.10
2016-07-15,4.06,4.10,4.04,4.08,9479100,4.08
2016-07-14,4.00,4.06,3.97,4.06,7426800,4.06
2016-07-13,3.99,4.02,3.94,4.01,8810500,4.01
2016-07-12,3.95,3.97,3.93,3.96,7558500,3.96
2016-07-11,3.87,3.95,3.87,3.94,7456900,3.94
2016-07-08,3.87,3.87,3.83,3.85,4048600,3.85
2016-07-07,3.85,3.89,3.85,3.88,3878000,3.88
2016-07-06,3.87,3.88,3.82,3.85,4238000,3.85
2016-07-05,3.91,3.94,3.88,3.88,11064000,3.88
2016-07-04,3.92,3.98,3.92,3.94,11808000,3.94
2016-07-01,3.92,3.92,3.92,3.92,000,3.92
2016-06-30,3.86,3.93,3.86,3.92,8449700,3.92
2016-06-29,3.83,3.87,3.81,3.87,8369400,3.87
2016-06-28,3.78,3.83,3.75,3.80,7900000,3.80
2016-06-27,3.71,3.84,3.71,3.81,3723000,3.81
2016-06-24,3.82,3.84,3.68,3.76,14293000,3.76
2016-06-23,3.84,3.85,3.80,3.83,6064000,3.83
2016-06-22,3.74,3.86,3.72,3.84,14576000,3.84
2016-06-21,3.95,3.95,3.92,3.94,20945100,3.704
2016-06-20,3.85,3.93,3.85,3.92,11398100,3.685
2016-06-17,3.85,3.88,3.84,3.85,9873800,3.62
2016-06-16,3.88,3.88,3.80,3.83,10332100,3.601
2016-06-15,3.82,3.91,3.82,3.89,11114000,3.657
