Date,Open,High,Low,Close,Volume,Adj Close,codenumber,bookvalue,changerate,PB
2016-07-26,3.5,3.51,3.47,3.48,8015300,3.48,,4.55,0.835,0.638637362637
2016-07-25,3.48,3.52,3.44,3.52,12209300,3.52,,4.55,0.835,0.645978021978
2016-07-22,3.43,3.47,3.41,3.47,17355000,3.47,,4.55,0.835,0.636802197802
2016-07-21,3.47,3.5,3.46,3.49,12890800,3.49,,4.55,0.835,0.640472527473
2016-07-20,3.49,3.49,3.44,3.47,15481300,3.47,,4.55,0.835,0.636802197802
2016-07-19,3.47,3.5,3.43,3.47,11864300,3.47,,4.55,0.835,0.636802197802
2016-07-18,3.45,3.47,3.43,3.45,10228200,3.45,,4.55,0.835,0.633131868132
2016-07-15,3.49,3.5,3.41,3.45,16739300,3.45,,4.55,0.835,0.633131868132
2016-07-14,3.43,3.43,3.43,3.43,0,3.43,,4.55,0.835,0.629461538462
2016-07-13,3.34,3.43,3.34,3.43,15194200,3.43,,4.55,0.835,0.629461538462
2016-07-12,3.34,3.36,3.29,3.32,9972000,3.32,,4.55,0.835,0.609274725275
2016-07-11,3.32,3.34,3.29,3.33,6716500,3.33,,4.55,0.835,0.61110989011
2016-07-08,3.28,3.29,3.25,3.29,4333600,3.29,,4.55,0.835,0.603769230769
2016-07-07,3.29,3.31,3.26,3.29,5407000,3.29,,4.55,0.835,0.603769230769
2016-07-06,3.24,3.29,3.22,3.28,5461000,3.28,,4.55,0.835,0.601934065934
2016-07-05,3.34,3.34,3.25,3.26,18135000,3.26,,4.55,0.835,0.598263736264
2016-07-04,3.55,3.58,3.52,3.55,20789000,3.33,,4.55,0.835,0.651483516484
2016-07-01,3.54,3.54,3.54,3.54,0,3.32,,4.55,0.835,0.649648351648
2016-06-30,3.51,3.56,3.49,3.54,36511500,3.32,,4.55,0.835,0.649648351648
2016-06-29,3.47,3.51,3.45,3.5,43475500,3.28,,4.55,0.835,0.642307692308
2016-06-28,3.41,3.46,3.36,3.44,17524000,3.22,,4.55,0.835,0.631296703297
