Date,Open,High,Low,Close,Volume,Adj Close
2016-08-30,3.55,3.61,3.52,3.59,11530000,3.59
2016-08-29,3.59,3.63,3.50,3.55,12896800,3.55
2016-08-26,3.61,3.65,3.59,3.64,3561100,3.64
2016-08-25,3.63,3.65,3.56,3.62,14802000,3.62
2016-08-24,3.72,3.72,3.60,3.65,6567100,3.65
2016-08-23,3.70,3.72,3.67,3.72,8379000,3.72
2016-08-22,3.75,3.76,3.68,3.72,5632700,3.72
2016-08-19,3.80,3.80,3.73,3.75,5215000,3.75
2016-08-18,3.79,3.80,3.74,3.78,9179000,3.78
2016-08-17,3.78,3.80,3.73,3.77,12696100,3.77
2016-08-16,3.78,3.78,3.71,3.76,17365000,3.76
2016-08-15,3.74,3.80,3.73,3.75,9132000,3.75
2016-08-12,3.66,3.72,3.63,3.72,20892200,3.72
2016-08-11,3.54,3.65,3.52,3.63,11361000,3.63
2016-08-10,3.51,3.54,3.51,3.54,4739700,3.54
2016-08-09,3.50,3.53,3.48,3.53,6523000,3.53
2016-08-08,3.49,3.50,3.46,3.50,7408500,3.50
2016-08-05,3.43,3.48,3.43,3.47,7340200,3.47
2016-08-04,3.42,3.45,3.40,3.42,6433100,3.42
2016-08-03,3.45,3.45,3.38,3.40,13106300,3.40
2016-08-02,3.46,3.46,3.46,3.46,000,3.46
2016-08-01,3.43,3.47,3.42,3.46,9314700,3.46
2016-07-29,3.43,3.44,3.37,3.37,11697600,3.37
2016-07-28,3.47,3.48,3.41,3.44,6419000,3.44
2016-07-27,3.50,3.52,3.42,3.47,8810000,3.47
2016-07-26,3.50,3.51,3.47,3.49,8595300,3.49
2016-07-25,3.48,3.52,3.44,3.52,12475300,3.52
2016-07-22,3.43,3.47,3.41,3.47,17355000,3.47
2016-07-21,3.47,3.50,3.46,3.49,12890800,3.49
2016-07-20,3.49,3.49,3.44,3.47,15481300,3.47
2016-07-19,3.47,3.50,3.43,3.47,11864300,3.47
2016-07-18,3.45,3.47,3.43,3.45,10228200,3.45
2016-07-15,3.49,3.50,3.41,3.45,16739300,3.45
2016-07-14,3.43,3.43,3.43,3.43,000,3.43
2016-07-13,3.34,3.43,3.34,3.43,15194200,3.43
2016-07-12,3.34,3.36,3.29,3.32,9972000,3.32
2016-07-11,3.32,3.34,3.29,3.33,6716500,3.33
2016-07-08,3.28,3.29,3.25,3.29,4333600,3.29
2016-07-07,3.29,3.31,3.26,3.29,5407000,3.29
2016-07-06,3.24,3.29,3.22,3.28,5461000,3.28
2016-07-05,3.34,3.34,3.25,3.26,18135000,3.26
2016-07-04,3.55,3.58,3.52,3.55,20789000,3.33
2016-07-01,3.54,3.54,3.54,3.54,000,3.32
2016-06-30,3.51,3.56,3.49,3.54,36511500,3.32
2016-06-29,3.47,3.51,3.45,3.50,43475500,3.28
2016-06-28,3.41,3.46,3.36,3.44,17524000,3.22
2016-06-27,3.37,3.43,3.33,3.42,15331300,3.21
2016-06-24,3.39,3.42,3.27,3.37,20186000,3.16
2016-06-23,3.43,3.43,3.40,3.42,9424000,3.21
2016-06-22,3.38,3.43,3.35,3.41,15240200,3.20
2016-06-21,3.35,3.39,3.33,3.38,16654800,3.17
2016-06-20,3.29,3.33,3.27,3.33,5231000,3.12
2016-06-17,3.23,3.28,3.21,3.26,13368800,3.06
2016-06-16,3.25,3.25,3.19,3.22,8737100,3.02
2016-06-15,3.22,3.25,3.20,3.23,12011000,3.03
2016-06-14,3.23,3.25,3.18,3.22,19472000,3.02
2016-06-13,3.30,3.31,3.22,3.23,10325000,3.03
2016-06-10,3.42,3.42,3.32,3.34,9515000,3.13
2016-06-09,3.41,3.41,3.41,3.41,000,3.20
2016-06-08,3.41,3.44,3.39,3.41,13442000,3.20
2016-06-07,3.36,3.40,3.34,3.39,17218900,3.18
2016-06-06,3.33,3.35,3.32,3.34,8938000,3.13
2016-06-03,3.35,3.36,3.29,3.32,12392000,3.11
2016-06-02,3.31,3.34,3.28,3.33,14568900,3.12
2016-06-01,3.34,3.38,3.28,3.31,16073300,3.10
2016-05-31,3.33,3.43,3.31,3.34,45210100,3.13
2016-05-30,3.30,3.33,3.29,3.30,6934500,3.09
2016-05-27,3.26,3.31,3.18,3.30,9261000,3.09
2016-05-26,3.27,3.27,3.23,3.25,5955300,3.05
2016-05-25,3.20,3.25,3.19,3.25,11496500,3.05
2016-05-24,3.18,3.20,3.14,3.15,8411200,2.95
2016-05-23,3.17,3.20,3.14,3.16,5406500,2.96
2016-05-20,3.13,3.19,3.13,3.15,5162000,2.95
2016-05-19,3.20,3.22,3.13,3.14,7506000,2.94
2016-05-18,3.15,3.23,3.15,3.23,10700100,3.03
2016-05-17,3.17,3.20,3.13,3.17,21116000,2.97
2016-05-16,3.12,3.19,3.12,3.15,14936700,2.95
2016-05-13,3.27,3.27,3.09,3.12,21288000,2.92
2016-05-12,3.28,3.30,3.22,3.23,11383000,3.03
2016-05-11,3.32,3.35,3.29,3.29,4589100,3.08
2016-05-10,3.30,3.35,3.30,3.31,10396500,3.10
2016-05-09,3.36,3.40,3.33,3.34,7563200,3.13
2016-05-06,3.38,3.43,3.36,3.36,6354700,3.15
2016-05-05,3.42,3.51,3.38,3.43,12174000,3.21
2016-05-04,3.47,3.51,3.45,3.49,6758900,3.27
2016-05-03,3.51,3.53,3.48,3.50,9051700,3.28
2016-05-02,3.53,3.53,3.53,3.53,000,3.31
2016-04-29,3.59,3.63,3.47,3.53,12669800,3.31
2016-04-28,3.59,3.63,3.55,3.59,6057800,3.36
2016-04-27,3.53,3.59,3.51,3.57,3043800,3.35
2016-04-26,3.56,3.56,3.48,3.54,11930000,3.32
2016-04-25,3.62,3.63,3.52,3.53,5539000,3.31
2016-04-22,3.62,3.64,3.60,3.63,2303500,3.40
2016-04-21,3.62,3.66,3.60,3.64,3106800,3.41
2016-04-20,3.64,3.64,3.57,3.60,5663200,3.37
2016-04-19,3.65,3.65,3.60,3.64,5876300,3.41
2016-04-18,3.68,3.70,3.56,3.62,9923000,3.39
2016-04-15,3.70,3.70,3.64,3.69,5158900,3.46
2016-04-14,3.69,3.76,3.66,3.67,6362300,3.44
2016-04-13,3.61,3.74,3.61,3.66,8784000,3.43
2016-04-12,3.57,3.60,3.53,3.60,3294700,3.37
2016-04-11,3.50,3.58,3.50,3.55,2969700,3.33
2016-04-08,3.49,3.57,3.45,3.55,4685000,3.33
2016-04-07,3.64,3.64,3.50,3.51,4238100,3.29
2016-04-06,3.51,3.53,3.49,3.51,5925700,3.29
2016-04-05,3.57,3.60,3.47,3.50,8139800,3.28
2016-04-04,3.59,3.59,3.59,3.59,000,3.36
2016-04-01,3.70,3.71,3.54,3.59,9512100,3.36
2016-03-31,3.67,3.79,3.62,3.77,20158400,3.53
2016-03-30,3.59,3.68,3.54,3.66,11844000,3.43
2016-03-29,3.58,3.58,3.49,3.51,4714000,3.29
2016-03-28,3.57,3.57,3.57,3.57,000,3.35
2016-03-25,3.57,3.57,3.57,3.57,000,3.35
2016-03-24,3.60,3.60,3.51,3.57,6093700,3.35
2016-03-23,3.65,3.70,3.59,3.63,5807600,3.40
2016-03-22,3.65,3.67,3.60,3.65,6811000,3.42
2016-03-21,3.65,3.68,3.60,3.65,6321000,3.42
2016-03-18,3.51,3.64,3.51,3.63,14557900,3.40
2016-03-17,3.49,3.53,3.45,3.51,7239000,3.29
2016-03-16,3.43,3.46,3.41,3.45,6672000,3.23
2016-03-15,3.45,3.46,3.38,3.45,8891300,3.23
2016-03-14,3.48,3.53,3.43,3.49,8092100,3.27
2016-03-11,3.39,3.46,3.38,3.46,6059700,3.24
2016-03-10,3.37,3.46,3.37,3.42,5662300,3.21
2016-03-09,3.41,3.43,3.40,3.41,3676600,3.20
2016-03-08,3.51,3.51,3.39,3.47,10644700,3.25
2016-03-07,3.49,3.51,3.44,3.49,13152500,3.27
2016-03-04,3.31,3.41,3.30,3.40,17189300,3.19
2016-03-03,3.29,3.31,3.27,3.29,6944000,3.08
2016-03-02,3.22,3.27,3.17,3.26,17831000,3.06
2016-03-01,3.10,3.17,3.09,3.16,20718000,2.96
2016-02-29,3.20,3.23,3.07,3.09,17889000,2.90
2016-02-26,3.19,3.23,3.16,3.19,7294400,2.99
2016-02-25,3.20,3.21,3.17,3.17,20756700,2.97
2016-02-24,3.24,3.24,3.16,3.21,8909000,3.01
2016-02-23,3.28,3.30,3.20,3.24,6691000,3.04
2016-02-22,3.22,3.29,3.22,3.29,7026100,3.08
2016-02-19,3.30,3.30,3.21,3.21,11555600,3.01
2016-02-18,3.26,3.32,3.23,3.25,7891400,3.05
2016-02-17,3.30,3.32,3.20,3.21,10715200,3.01
2016-02-16,3.29,3.36,3.25,3.30,7117000,3.09
2016-02-15,3.13,3.25,3.13,3.24,6042000,3.04
2016-02-12,3.18,3.24,3.09,3.10,4248600,2.91
2016-02-11,3.24,3.30,3.20,3.21,4501400,3.01
2016-02-10,3.33,3.33,3.33,3.33,000,3.12
2016-02-09,3.33,3.33,3.33,3.33,000,3.12
2016-02-08,3.33,3.33,3.33,3.33,000,3.12
2016-02-05,3.33,3.36,3.30,3.33,6509000,3.12
2016-02-04,3.36,3.37,3.28,3.30,7194300,3.09
2016-02-03,3.38,3.39,3.30,3.30,10401200,3.09
2016-02-02,3.51,3.55,3.40,3.41,8571500,3.20
2016-02-01,3.61,3.63,3.47,3.52,9289200,3.30
2016-01-29,3.56,3.65,3.54,3.63,10022300,3.40
2016-01-28,3.49,3.60,3.49,3.58,12959000,3.36
2016-01-27,3.48,3.52,3.40,3.50,19802000,3.28
2016-01-26,3.50,3.52,3.37,3.39,17985600,3.18
2016-01-25,3.58,3.58,3.49,3.56,17229300,3.34
2016-01-22,3.43,3.51,3.40,3.49,20325700,3.27
2016-01-21,3.44,3.50,3.35,3.36,30516000,3.15
2016-01-20,3.62,3.62,3.36,3.43,29173900,3.21
2016-01-19,3.48,3.63,3.48,3.59,21376800,3.36
2016-01-18,3.47,3.52,3.45,3.48,19544600,3.26
2016-01-15,3.60,3.65,3.52,3.54,27951700,3.32
2016-01-14,3.50,3.61,3.43,3.58,31528000,3.36
2016-01-13,3.46,3.59,3.45,3.55,33938100,3.33
2016-01-12,3.42,3.49,3.39,3.40,18817000,3.19
2016-01-11,3.41,3.49,3.40,3.42,24646300,3.21
2016-01-08,3.49,3.58,3.49,3.52,21678200,3.30
2016-01-07,3.63,3.65,3.50,3.51,26207300,3.29
2016-01-06,3.68,3.72,3.64,3.65,18391700,3.42
