Date,Open,High,Low,Close,Volume,Adj Close,codenumber,bookvalue,changerate,PB
2016-08-30,4.43,4.47,4.43,4.46,8041700,4.46,,5.26,0.835,0.708003802281
2016-08-29,4.44,4.44,4.37,4.41,11990400,4.41,,5.26,0.835,0.700066539924
2016-08-26,4.42,4.46,4.41,4.43,4235000,4.43,,5.26,0.835,0.703241444867
2016-08-25,4.45,4.47,4.4,4.45,6413700,4.45,,5.26,0.835,0.70641634981
2016-08-24,4.58,4.58,4.38,4.45,7914700,4.45,,5.26,0.835,0.70641634981
2016-08-23,4.59,4.59,4.53,4.58,6641700,4.58,,5.26,0.835,0.727053231939
2016-08-22,4.59,4.59,4.5,4.59,8050700,4.59,,5.26,0.835,0.728640684411
2016-08-19,4.54,4.56,4.47,4.55,14826000,4.55,,5.26,0.835,0.722290874525
2016-08-18,4.44,4.51,4.44,4.5,14958000,4.5,,5.26,0.835,0.714353612167
2016-08-17,4.46,4.48,4.4,4.42,6774400,4.42,,5.26,0.835,0.701653992395
2016-08-16,4.5,4.55,4.44,4.44,6271300,4.44,,5.26,0.835,0.704828897338
2016-08-15,4.38,4.55,4.38,4.49,7561000,4.49,,5.26,0.835,0.712766159696
2016-08-12,4.38,4.41,4.36,4.41,9854000,4.41,,5.26,0.835,0.700066539924
2016-08-11,4.25,4.37,4.23,4.32,10336000,4.32,,5.26,0.835,0.685779467681
2016-08-10,4.24,4.25,4.22,4.25,8277000,4.25,,5.26,0.835,0.67466730038
2016-08-09,4.21,4.24,4.19,4.24,8073000,4.24,,5.26,0.835,0.673079847909
2016-08-08,4.19,4.21,4.16,4.2,9551900,4.2,,5.26,0.835,0.666730038023
2016-08-05,4.16,4.18,4.14,4.17,7261000,4.17,,5.26,0.835,0.661967680608
2016-08-04,4.14,4.14,4.1,4.14,5957200,4.14,,5.26,0.835,0.657205323194
2016-08-03,4.1,4.12,4.06,4.11,9100400,4.11,,5.26,0.835,0.652442965779
2016-08-02,4.15,4.15,4.15,4.15,0,4.15,,5.26,0.835,0.658792775665
2016-08-01,4.1,4.16,4.08,4.15,11355900,4.15,,5.26,0.835,0.658792775665
2016-07-29,4.14,4.15,4.07,4.07,5979300,4.07,,5.26,0.835,0.646093155894
2016-07-28,4.17,4.17,4.11,4.13,6709000,4.13,,5.26,0.835,0.655617870722
2016-07-27,4.14,4.17,4.1,4.16,6600000,4.16,,5.26,0.835,0.660380228137
2016-07-26,4.1,4.2,4.09,4.18,7294000,4.18,,5.26,0.835,0.66355513308
2016-07-25,4.12,4.14,4.08,4.14,8200600,4.14,,5.26,0.835,0.657205323194
2016-07-22,4.12,4.13,4.05,4.09,9638700,4.09,,5.26,0.835,0.649268060837
2016-07-21,4.11,4.17,4.11,4.15,6283000,4.15,,5.26,0.835,0.658792775665
2016-07-20,4.15,4.15,4.09,4.12,7704800,4.12,,5.26,0.835,0.654030418251
2016-07-19,4.13,4.15,4.06,4.13,8828000,4.13,,5.26,0.835,0.655617870722
2016-07-18,4.08,4.12,4.06,4.1,3500800,4.1,,5.26,0.835,0.650855513308
2016-07-15,4.06,4.1,4.04,4.08,9479100,4.08,,5.26,0.835,0.647680608365
2016-07-14,4.0,4.06,3.97,4.06,7426800,4.06,,5.26,0.835,0.644505703422
2016-07-13,3.99,4.02,3.94,4.01,8810500,4.01,,5.26,0.835,0.636568441065
2016-07-12,3.95,3.97,3.93,3.96,7558500,3.96,,5.26,0.835,0.628631178707
2016-07-11,3.87,3.95,3.87,3.94,7456900,3.94,,5.26,0.835,0.625456273764
2016-07-08,3.87,3.87,3.83,3.85,4048600,3.85,,5.26,0.835,0.611169201521
2016-07-07,3.85,3.89,3.85,3.88,3878000,3.88,,5.26,0.835,0.615931558935
2016-07-06,3.87,3.88,3.82,3.85,4238000,3.85,,5.26,0.835,0.611169201521
2016-07-05,3.91,3.94,3.88,3.88,11064000,3.88,,5.26,0.835,0.615931558935
2016-07-04,3.92,3.98,3.92,3.94,11808000,3.94,,5.26,0.835,0.625456273764
2016-07-01,3.92,3.92,3.92,3.92,0,3.92,,5.26,0.835,0.622281368821
2016-06-30,3.86,3.93,3.86,3.92,8449700,3.92,,5.26,0.835,0.622281368821
2016-06-29,3.83,3.87,3.81,3.87,8369400,3.87,,5.26,0.835,0.614344106464
2016-06-28,3.78,3.83,3.75,3.8,7900000,3.8,,5.26,0.835,0.603231939163
2016-06-27,3.71,3.84,3.71,3.81,3723000,3.81,,5.26,0.835,0.604819391635
2016-06-24,3.82,3.84,3.68,3.76,14293000,3.76,,5.26,0.835,0.596882129278
2016-06-23,3.84,3.85,3.8,3.83,6064000,3.83,,5.26,0.835,0.607994296578
2016-06-22,3.74,3.86,3.72,3.84,14576000,3.84,,5.26,0.835,0.609581749049
2016-06-21,3.95,3.95,3.92,3.94,20945100,3.704,,5.26,0.835,0.625456273764
2016-06-20,3.85,3.93,3.85,3.92,11398100,3.685,,5.26,0.835,0.622281368821
2016-06-17,3.85,3.88,3.84,3.85,9873800,3.62,,5.26,0.835,0.611169201521
2016-06-16,3.88,3.88,3.8,3.83,10332100,3.601,,5.26,0.835,0.607994296578
2016-06-15,3.82,3.91,3.82,3.89,11114000,3.657,,5.26,0.835,0.617519011407
2016-06-14,3.85,3.88,3.82,3.86,6030000,3.629,,5.26,0.835,0.612756653992
2016-06-13,3.91,3.91,3.82,3.86,9369000,3.629,,5.26,0.835,0.612756653992
